Motif	Factor	Evidence	Curated
SALL4_MOUSE.H11MO.0.A	Sall4	ChIP-seq	Y
SIX2_MOUSE.H11MO.0.A	Six2	ChIP-seq	Y
SIX4_MOUSE.H11MO.0.C	Six4	ChIP-seq	Y
SMAD2_MOUSE.H11MO.0.A	Smad2	ChIP-seq	Y
SMAD3_MOUSE.H11MO.0.B	Smad3	ChIP-seq	Y
SMAD4_MOUSE.H11MO.0.A	Smad4	ChIP-seq	Y
SMCA5_MOUSE.H11MO.0.C	Smarca5	ChIP-seq	Y
SNAI1_MOUSE.H11MO.0.C	Snai1	ChIP-seq	Y
SNAI2_MOUSE.H11MO.0.A	Snai2	ChIP-seq	Y
SOX10_MOUSE.H11MO.0.B	Sox10	ChIP-seq	Y
SOX2_MOUSE.H11MO.0.A	Sox2	ChIP-seq	Y
SOX3_MOUSE.H11MO.0.C	Sox3	ChIP-seq	Y
SOX4_MOUSE.H11MO.0.A	Sox4	ChIP-seq	Y
SOX5_MOUSE.H11MO.0.C	Sox5	ChIP-seq	Y
SOX9_MOUSE.H11MO.0.A	Sox9	ChIP-seq	Y
SP1_MOUSE.H11MO.0.A	Sp1	ChIP-seq	Y
SP2_MOUSE.H11MO.0.B	Sp2	ChIP-seq	Y
SP3_MOUSE.H11MO.0.B	Sp3	ChIP-seq	Y
SP4_MOUSE.H11MO.0.B	Sp4	ChIP-seq	Y
SP5_MOUSE.H11MO.0.C	Sp5	ChIP-seq	Y
SP7_MOUSE.H11MO.0.A	Sp7	ChIP-seq	Y
SPI1_MOUSE.H11MO.0.A	Spi1	ChIP-seq	Y
SPIB_MOUSE.H11MO.0.A	Spib	ChIP-seq	Y
SRBP1_MOUSE.H11MO.0.B	Srebf1	ChIP-seq	Y
SRBP2_MOUSE.H11MO.0.B	Srebf2	ChIP-seq	Y
SRF_MOUSE.H11MO.0.A	Srf	ChIP-seq	Y
SRY_MOUSE.H11MO.0.B	Sry	ChIP-seq	Y
STA5A_MOUSE.H11MO.0.A	Stat5a	ChIP-seq	Y
STA5B_MOUSE.H11MO.0.A	Stat5b	ChIP-seq	Y
STAT1_MOUSE.H11MO.0.A	Stat1	ChIP-seq	Y
STAT2_MOUSE.H11MO.0.A	Stat2	ChIP-seq	Y
STAT3_MOUSE.H11MO.0.A	Stat3	ChIP-seq	Y
STAT4_MOUSE.H11MO.0.A	Stat4	ChIP-seq	Y
STAT6_MOUSE.H11MO.0.A	Stat6	ChIP-seq	Y
STF1_MOUSE.H11MO.0.B	Nr5a1	ChIP-seq	Y
SUH_MOUSE.H11MO.0.A	Rbpj	ChIP-seq	Y
TAF1_MOUSE.H11MO.0.A	Taf1	ChIP-seq	Y
TAL1_MOUSE.H11MO.0.A	Tal1	ChIP-seq	Y
TBP_MOUSE.H11MO.0.A	Tbp	ChIP-seq	Y
TBX20_MOUSE.H11MO.0.C	Tbx20	ChIP-seq	Y
TBX21_MOUSE.H11MO.0.A	Tbx21	ChIP-seq	Y
TBX3_MOUSE.H11MO.0.B	Tbx3	ChIP-seq	Y
TCF7_MOUSE.H11MO.0.A	Tcf7	ChIP-seq	Y
TEAD1_MOUSE.H11MO.0.A	Tead1	ChIP-seq	Y
TEAD2_MOUSE.H11MO.0.C	Tead2	ChIP-seq	Y
TEAD4_MOUSE.H11MO.0.A	Tead4	ChIP-seq	Y
TF2L1_MOUSE.H11MO.0.C	Tfcp2l1	ChIP-seq	Y
TF65_MOUSE.H11MO.0.A	Rela	ChIP-seq	Y
TF7L1_MOUSE.H11MO.0.A	Tcf7l1	ChIP-seq	Y
TF7L2_MOUSE.H11MO.0.A	Tcf7l2	ChIP-seq	Y
TFE2_MOUSE.H11MO.0.A	Tcf3	ChIP-seq	Y
TFE3_MOUSE.H11MO.0.A	Tfe3	ChIP-seq	Y
TFEB_MOUSE.H11MO.0.C	Tfeb	ChIP-seq	Y
TGIF1_MOUSE.H11MO.0.A	Tgif1	ChIP-seq	Y
THA11_MOUSE.H11MO.0.B	Thap11	ChIP-seq	Y
THA_MOUSE.H11MO.0.C	Thra	ChIP-seq	Y
TWST1_MOUSE.H11MO.0.B	Twist1	ChIP-seq	Y
TYY1_MOUSE.H11MO.0.A	Yy1	ChIP-seq	Y
USF1_MOUSE.H11MO.0.A	Usf1	ChIP-seq	Y
USF2_MOUSE.H11MO.0.A	Usf2	ChIP-seq	Y
VDR_MOUSE.H11MO.0.A	Vdr	ChIP-seq	Y
VSX2_MOUSE.H11MO.0.C	Vsx2	ChIP-seq	Y
WT1_MOUSE.H11MO.0.B	Wt1	ChIP-seq	Y
XBP1_MOUSE.H11MO.0.C	Xbp1	ChIP-seq	Y
ZBT17_MOUSE.H11MO.0.A	Zbtb17	ChIP-seq	Y
ZBT7A_MOUSE.H11MO.0.B	Zbtb7a	ChIP-seq	Y
ZEB1_MOUSE.H11MO.0.B	Zeb1	ChIP-seq	Y
ZFP42_MOUSE.H11MO.0.A	Zfp42	ChIP-seq	Y
ZFP57_MOUSE.H11MO.0.B	Zfp57	ChIP-seq	Y
ZFX_MOUSE.H11MO.0.B	Zfx	ChIP-seq	Y
ZIC1_MOUSE.H11MO.0.B	Zic1	ChIP-seq	Y
ZIC2_MOUSE.H11MO.0.C	Zic2	ChIP-seq	Y
ZIC3_MOUSE.H11MO.0.A	Zic3	ChIP-seq	Y
ZKSC1_MOUSE.H11MO.0.A	Zkscan1	ChIP-seq	Y
ZN143_MOUSE.H11MO.0.A	Znf143	ChIP-seq	Y
ZN281_MOUSE.H11MO.0.A	Znf281	ChIP-seq	Y
ZN322_MOUSE.H11MO.0.B	Znf322	ChIP-seq	Y
ZN335_MOUSE.H11MO.0.A	Znf335	ChIP-seq	Y
ZN431_MOUSE.H11MO.0.C	Znf431	ChIP-seq	Y
